  1.80   4.76   5.91   7.07   8.22   9.38  10.53  11.69  12.84  14.00 
  1.80   4.76   5.91   7.07   8.22   9.38  10.53  11.69  12.84  14.00 
  1.80   4.76   5.91   7.07   8.22   9.38  10.53  11.69  12.84  14.00 
  1.80   4.76   5.91   7.07   8.22   9.38  10.53  11.69  12.84  14.00 
  1.80   4.76   5.91   7.07   8.22   9.38  10.53  11.69  12.84  14.00 
  1.80   4.76   5.91   7.07   8.22   9.38  10.53  11.69  12.84  14.00 
  1.80   4.76   5.91   7.07   8.22   9.38  10.53  11.69  12.84  14.00 
  1.80   4.76   5.91   7.07   8.22   9.38  10.53  11.69  12.84  14.00 
  1.80   4.76   5.91   7.07   8.22   9.38  10.53  11.69  12.84  14.00 
  1.80   4.76   5.91   7.07   8.22   9.38  10.53  11.69  12.84  14.00 
  1.80   4.76   5.91   7.07   8.22   9.38  10.53  11.69  12.84  14.00 
  1.80   4.76   5.91   7.07   8.22   9.38  10.53  11.69  12.84  14.00 
  1.80   4.76   5.91   7.07   8.22   9.38  10.53  11.69  12.84  14.00 
  1.80   4.76   5.91   7.07   8.22   9.38  10.53  11.69  12.84  14.00 
  1.80   4.76   5.91   7.07   8.22   9.38  10.53  11.69  12.84  14.00 
  1.80   4.76   5.91   7.07   8.22   9.38  10.53  11.69  12.84  14.00 
  1.80   4.76   5.91   7.07   8.22   9.38  10.53  11.69  12.84  14.00 
  1.80   4.76   5.91   7.07   8.22   9.38  10.53  11.69  12.84  14.00 
  1.80   4.76   5.91   7.07   8.22   9.38  10.53  11.69  12.84  14.00 
  1.80   4.76   5.91   7.07   8.22   9.38  10.53  11.69  12.84  14.00 
  1.80   4.76   5.91   7.07   8.22   9.38  10.53  11.69  12.84  14.00 
  1.80   4.76   5.91   7.07   8.22   9.38  10.53  11.69  12.84  14.00 
  1.80   4.76   5.91   7.07   8.22   9.38  10.53  11.69  12.84  14.00 
  1.80   4.76   5.91   7.07   8.22   9.38  10.53  11.69  12.84  14.00 
