 27.57  27.57  27.57  27.57  27.57  27.57  27.57  27.57  27.57  27.57 
 18.88  18.88  18.88  18.88  18.88  18.88  18.88  18.88  18.88  18.88 
 19.07  19.07  19.07  19.07  19.07  19.07  19.07  19.07  19.07  19.07 
 16.40  16.40  16.40  16.40  16.40  16.40  16.40  16.40  16.40  16.40 
 15.12  15.12  15.12  15.12  15.12  15.12  15.12  15.12  15.12  15.12 
 17.39  17.39  17.39  17.39  17.39  17.39  17.39  17.39  17.39  17.39 
 22.43  22.43  22.43  22.43  22.43  22.43  22.43  22.43  22.43  22.43 
 42.20  42.20  42.20  42.20  42.20  42.20  42.20  42.20  42.20  42.20 
 54.06  54.06  54.06  54.06  54.06  54.06  54.06  54.06  54.06  54.06 
 57.71  57.71  57.71  57.71  57.71  57.71  57.71  57.71  57.71  57.71 
 61.86  61.86  61.86  61.86  61.86  61.86  61.86  61.86  61.86  61.86 
 65.32  65.32  65.32  65.32  65.32  65.32  65.32  65.32  65.32  65.32 
 69.08  69.08  69.08  69.08  69.08  69.08  69.08  69.08  69.08  69.08 
 71.05  71.05  71.05  71.05  71.05  71.05  71.05  71.05  71.05  71.05 
 65.62  65.62  65.62  65.62  65.62  65.62  65.62  65.62  65.62  65.62 
 61.47  61.47  61.47  61.47  61.47  61.47  61.47  61.47  61.47  61.47 
 58.41  58.41  58.41  58.41  58.41  58.41  58.41  58.41  58.41  58.41 
 55.74  55.74  55.74  55.74  55.74  55.74  55.74  55.74  55.74  55.74 
 50.30  50.30  50.30  50.30  50.30  50.30  50.30  50.30  50.30  50.30 
 54.95  54.95  54.95  54.95  54.95  54.95  54.95  54.95  54.95  54.95 
 67.89  67.89  67.89  67.89  67.89  67.89  67.89  67.89  67.89  67.89 
 61.96  61.96  61.96  61.96  61.96  61.96  61.96  61.96  61.96  61.96 
 45.56  45.56  45.56  45.56  45.56  45.56  45.56  45.56  45.56  45.56 
 30.14  30.14  30.14  30.14  30.14  30.14  30.14  30.14  30.14  30.14 
