 131.08  122.47  120.91  112.83  109.22  106.41   92.76   89.80   69.29    0.00 
 131.08  123.56  122.88  115.67  114.11  110.44   98.27   78.80   39.71    0.00 
 131.08  124.24  123.47  119.42  113.09  110.59   85.76   60.22   56.08    0.00 
 131.08  128.38  128.34  127.53  119.00  105.97   75.74   66.92   65.77    0.00 
 131.08  128.56  127.62  111.91  107.89  106.41   97.21   85.37   69.88    0.00 
 131.08  124.16  120.68  119.65  104.83  102.89  102.33   91.68   54.12    0.00 
 131.08  123.04  122.91  119.56  113.71  101.21  100.54   94.73   67.37    0.00 
 131.08  125.54  117.53  105.37  104.13   92.20   91.19   66.29   28.38    0.00 
 131.08  124.42  124.14  120.70  104.91  102.29   97.06   72.15   69.33    0.00 
 131.08  122.14  119.72  117.53  107.92   68.84   63.24   54.22   22.82    0.00 
 131.08  122.81  122.15  109.76  103.17   67.79   60.46   41.96   35.91    0.00 
 131.08  125.95  119.50  115.28  112.10  103.86   94.89   43.31   29.71    0.00 
 131.08  129.51  106.05  102.05   94.96   93.92   62.85   45.09   41.88    0.00 
 131.08  125.82  111.20  104.62  103.71   99.07   89.00   79.33   68.67    0.00 
 131.08  126.52  122.73  120.27  117.91  108.86   96.44   93.56   64.69    0.00 
 131.08  127.67  126.59  115.19  109.00   85.69   82.86   59.01   27.36    0.00 
 131.08  129.27  113.95  104.83   93.07   69.67   63.23   52.33   43.31    0.00 
 131.08  117.73  112.74  103.46  100.17   97.82   90.56   85.99   29.77    0.00 
 131.08  128.51  122.47  116.90  105.65   97.59   83.62   75.10   33.37    0.00 
 131.08  130.03  126.83  117.00  116.50   87.90   76.24   59.81   39.20    0.00 
 131.08  126.57  118.29  114.48  112.59  102.24   86.70   79.14   78.08    0.00 
 131.08  117.56  117.31  101.41   92.17   88.94   62.82   62.68   34.04    0.00 
 131.08  118.67  116.87  112.23   96.30   91.90   67.12   62.54   30.19    0.00 
 131.08  126.79  126.74  121.66  121.27   94.63   61.43   56.38   34.64    0.00 
