set T := 1 2 ;
set G := 1 2 ;
set D := 1 ;
set B_G := 1 2 ;
set B_D := 1 2 ;


param P_max :=
    1  20
    2  30 ;

param P_min :=
    1  5
    2  10 ;

param R_up :=
    1  5
    2  10 ;

param R_dn :=
    1  5
    2  10 ;

param P_0 :=
    1  10
    2  15 ;

param U_0 :=
    1  1
    2  1 ;

param delta_t := 1.0 ;

param P_B_G :=
    1 1 1   5
    1 1 2  15
    1 2 1   5
    1 2 2  15
    2 1 1  10
    2 1 2  20
    2 2 1  10
    2 2 2  20 ;

param Lambda_B_G :=
    1 1 1  10
    1 1 2  13
    1 2 1  10
    1 2 2  13
    2 1 1  15
    2 1 2  18
    2 2 1  15
    2 2 2  18 ;

param P_B_D :=
    1 1 1  12
    1 1 2  15
    1 2 1  25
    1 2 2  30 ;

param Lambda_B_D :=
    1 1 1  20
    1 1 2  10
    1 2 1  20
    1 2 2  10 ;
